Track; Henry; Justus; Lukas
mc; [1, 2, 0]; [2, 1, 1]; [3, 0, 1]
tm; [2, 1, 0]; [1, 0, 0]; [3, 0, 0]
ww; [3, 0, 0]; [1, 0, 0]; [4, 1, 0]
nbc; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
ddd; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
rrsnes; [3, 0, 0]; [2, 2, 0]; [1, 0, 0]
cl; [3, 1, 0]; [1, 0, 0]; [2, 0, 1]
mcgba; [1, 0, 0]; [3, 0, 0]; [2, 1, 0]
yc; [1, 2, 1]; [2, 1, 0]; [5, 2, 0]
ttc; [1, 1, 0]; [2, 0, 1]; [3, 0, 0]
iic; [4, 1, 0]; [5, 1, 0]; [1, 0, 1]
rrn64; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
ww; [3, 1, 0]; [1, 0, 0]; [6, 1, 1]
pps; [1, 0, 0]; [3, 2, 1]; [2, 1, 0]
ac; [5, 1, 0]; [4, 1, 0]; [1, 0, 1]
mks; [2, 1, 0]; [3, 2, 0]; [1, 0, 0]
ssc; [3, 2, 0]; [2, 0, 1]; [1, 0, 0]
ds; [3, 1, 0]; [2, 1, 1]; [1, 2, 0]
mks; [3, 0, 1]; [2, 1, 0]; [1, 0, 0]
ds; [4, 0, 0]; [1, 0, 0]; [2, 2, 1]
sgf; [5, 1, 0]; [1, 1, 0]; [2, 1, 1]
ddd; [2, 0, 0]; [3, 1, 0]; [1, 0, 0]
ttc; [2, 0, 0]; [1, 1, 1]; [3, 1, 0]
yc; [2, 0, 0]; [1, 1, 0]; [4, 2, 1]
dkj; [3, 1, 0]; [2, 2, 0]; [1, 1, 1]
sbs; [1, 0, 0]; [5, 2, 0]; [2, 2, 1]
royal; [3, 1, 0]; [1, 1, 0]; [2, 1, 1]
nbc; [6, 2, 0]; [8, 3, 0]; [1, 1, 0]
bp; [7, 1, 0]; [5, 2, 0]; [1, 0, 1]
wp; [4, 0, 0]; [1, 0, 0]; [2, 2, 0]
th; [6, 0, 0]; [2, 0, 0]; [1, 3, 0]
mc; [8, 1, 0]; [1, 0, 1]; [2, 0, 0]
sgf; [3, 1, 0]; [6, 2, 0]; [1, 1, 0]
sl; [5, 0, 1]; [3, 1, 0]; [1, 2, 0]
dkj; [3, 0, 0]; [1, 0, 1]; [2, 0, 0]
pps; [3, 1, 0]; [2, 1, 0]; [1, 2, 0]
cl; [4, 0, 0]; [8, 4, 0]; [1, 1, 0]
th; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
ribbon; [2, 0, 0]; [3, 3, 1]; [1, 0, 0]
bp; [4, 1, 0]; [2, 0, 0]; [1, 0, 0]
mmm; [6, 0, 0]; [2, 0, 0]; [1, 0, 0]
pps; [2, 0, 0]; [3, 0, 0]; [1, 1, 1]
ssc; [6, 0, 0]; [2, 0, 0]; [1, 0, 0]
ea; [2, 0, 0]; [3, 1, 0]; [1, 0, 0]
ttc; [1, 0, 0]; [3, 1, 0]; [2, 2, 0]
sa; [1, 0, 0]; [4, 2, 0]; [2, 0, 1]
sbs; [4, 1, 1]; [1, 0, 0]; [2, 2, 0]
mmm; [5, 0, 0]; [2, 0, 0]; [1, 0, 0]
