Track; Henry; Justus; Lukas
wgm; [8, 0, 0]; [10, 2, 0]; [1, 1, 1]
ttc; [6, 1, 0]; [1, 1, 1]; [5, 3, 0]
ddd; [2, 1, 0]; [3, 2, 0]; [1, 0, 1]
ttc; [2, 0, 0]; [5, 1, 0]; [1, 1, 0]
bdd; [2, 0, 0]; [5, 4, 0]; [1, 0, 0]
th; [4, 0, 0]; [1, 2, 2]; [2, 0, 0]
hc; [2, 0, 0]; [3, 3, 0]; [1, 0, 0]
rr; [2, 0, 1]; [3, 2, 0]; [1, 1, 0]
mmm; [3, 0, 0]; [1, 0, 0]; [2, 0, 1]
ea; [4, 0, 1]; [3, 1, 0]; [1, 0, 0]
tt; [2, 1, 0]; [5, 0, 0]; [1, 0, 0]
royal; [1, 0, 0]; [4, 1, 1]; [3, 1, 1]
bdd; [2, 0, 0]; [3, 2, 0]; [1, 0, 0]
tr; [2, 2, 0]; [1, 2, 0]; [4, 0, 0]
cl; [3, 1, 1]; [1, 1, 0]; [2, 1, 1]
wp; [7, 0, 0]; [5, 1, 1]; [1, 0, 0]
dd; [2, 0, 1]; [1, 1, 0]; [4, 0, 0]
rrsnes; [2, 1, 0]; [1, 1, 1]; [4, 1, 0]
mcgba; [4, 2, 0]; [1, 0, 0]; [2, 2, 0]
dkj; [1, 1, 0]; [3, 1, 1]; [2, 1, 1]
sgf; [2, 1, 0]; [4, 1, 0]; [1, 0, 1]
ea; [3, 1, 0]; [2, 3, 0]; [1, 0, 0]
gv; [3, 2, 0]; [1, 1, 0]; [2, 3, 0]
bp; [7, 1, 0]; [2, 1, 0]; [1, 1, 1]
mks; [3, 1, 0]; [1, 1, 0]; [2, 1, 1]
ea; [3, 0, 0]; [1, 1, 0]; [2, 3, 0]
hc; [3, 0, 0]; [1, 0, 1]; [2, 1, 0]
ww; [1, 0, 0]; [6, 1, 0]; [2, 2, 0]
iic; [3, 1, 0]; [4, 0, 1]; [1, 0, 0]
nbc; [2, 1, 0]; [3, 2, 0]; [1, 0, 1]
ddd; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
pps; [1, 2, 0]; [2, 2, 0]; [3, 3, 0]
wp; [4, 0, 0]; [1, 0, 0]; [2, 0, 0]
sbs; [3, 1, 0]; [2, 2, 0]; [1, 1, 1]
ribbon; [2, 1, 0]; [1, 1, 0]; [3, 1, 1]
mmm; [1, 0, 0]; [2, 1, 0]; [4, 0, 1]
nbc; [9, 0, 0]; [1, 0, 1]; [4, 0, 0]
sbs; [3, 0, 0]; [2, 1, 0]; [1, 0, 2]
mmm; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
mw; [3, 0, 0]; [1, 1, 1]; [2, 4, 0]
wp; [5, 0, 0]; [2, 1, 0]; [1, 1, 1]
sbs; [6, 1, 0]; [1, 0, 0]; [2, 1, 0]
wp; [4, 1, 0]; [1, 0, 0]; [2, 3, 0]
dd; [2, 1, 0]; [1, 0, 0]; [3, 3, 0]
bdd; [1, 1, 0]; [4, 2, 0]; [2, 2, 0]
mcgba; [3, 0, 1]; [1, 2, 0]; [2, 1, 0]
mks; [2, 0, 1]; [1, 1, 0]; [3, 1, 0]
ds; [3, 0, 0]; [2, 1, 0]; [1, 0, 1]
