Track; Henry; Justus; Lukas
e; [4, 1, 0]; [1, 0, 1]; [6, 2, 0]
ac; [6, 2, 0]; [2, 2, 1]; [1, 1, 0]
bdd; [2, 1, 1]; [1, 3, 0]; [3, 0, 0]
ssc; [10, 2, 0]; [4, 0, 0]; [2, 3, 2]
mutec; [3, 0, 0]; [1, 1, 0]; [2, 2, 0]
ttc; [3, 0, 1]; [2, 2, 0]; [1, 0, 0]
royal; [2, 1, 0]; [1, 0, 0]; [3, 2, 0]
rrn64; [2, 1, 0]; [1, 0, 0]; [3, 0, 0]
wp; [4, 1, 0]; [2, 2, 0]; [3, 1, 1]
royal; [2, 1, 1]; [5, 2, 0]; [1, 1, 1]
dp3; [1, 0, 0]; [3, 3, 0]; [5, 1, 0]
ssc; [2, 2, 0]; [1, 0, 0]; [3, 1, 1]
rrsnes; [1, 0, 1]; [2, 1, 0]; [5, 0, 0]
mcgba; [3, 0, 0]; [1, 1, 0]; [2, 0, 1]
mks; [1, 0, 1]; [4, 2, 0]; [3, 2, 0]
rrsnes; [2, 1, 1]; [7, 0, 0]; [4, 0, 0]
nbc; [4, 1, 0]; [7, 1, 1]; [1, 1, 0]
e; [1, 1, 0]; [6, 1, 0]; [3, 1, 0]
dkj; [2, 2, 0]; [1, 1, 0]; [3, 0, 0]
ddd; [4, 3, 0]; [2, 1, 1]; [1, 1, 0]
ttc; [1, 1, 0]; [3, 2, 0]; [4, 2, 1]
tt; [5, 3, 0]; [1, 0, 0]; [7, 0, 0]
e; [6, 0, 0]; [1, 0, 1]; [4, 2, 0]
mc; [4, 3, 0]; [2, 1, 0]; [1, 1, 1]
pps; [2, 2, 0]; [3, 1, 0]; [1, 2, 0]
gv; [7, 1, 0]; [2, 0, 1]; [1, 1, 0]
hc; [2, 0, 0]; [1, 1, 1]; [6, 1, 0]
tr; [1, 1, 0]; [3, 1, 1]; [6, 0, 0]
ds; [1, 1, 0]; [5, 1, 1]; [2, 1, 0]
cc; [2, 0, 0]; [1, 0, 0]; [3, 0, 0]
pps; [3, 2, 0]; [1, 1, 2]; [2, 1, 0]
e; [3, 0, 0]; [1, 0, 1]; [2, 2, 0]
