Track; Henry; Justus; Lukas
ds; [4, 1, 0]; [1, 2, 0]; [5, 0, 0]
ea; [2, 0, 0]; [4, 3, 0]; [1, 1, 0]
ddd; [2, 0, 1]; [3, 2, 0]; [1, 1, 0]
bdd; [2, 1, 0]; [3, 2, 0]; [1, 0, 0]
ww; [7, 0, 0]; [2, 1, 2]; [6, 0, 0]
tm; [1, 0, 0]; [4, 1, 0]; [2, 1, 1]
hc; [3, 0, 1]; [4, 2, 0]; [1, 1, 0]
mp; [4, 0, 0]; [2, 1, 0]; [1, 1, 0]
rrn64; [1, 0, 0]; [2, 1, 0]; [3, 1, 0]
bp; [3, 0, 0]; [1, 1, 0]; [2, 1, 0]
mks; [1, 0, 1]; [2, 2, 0]; [3, 4, 0]
rrn64; [6, 1, 0]; [4, 0, 0]; [1, 0, 0]
nbc; [2, 1, 0]; [9, 1, 0]; [1, 0, 0]
dkj; [4, 2, 0]; [1, 1, 0]; [2, 2, 0]
e; [2, 0, 0]; [5, 2, 0]; [1, 0, 0]
ac; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
