Track; Henry; Justus; Lukas
sbs; [1, 0, 0]; [3, 2, 1]; [2, 1, 0]
ws; [1, 1, 0]; [2, 0, 0]; [5, 2, 0]
rr; [1, 0, 1]; [2, 0, 0]; [4, 0, 0]
ccb; [3, 0, 0]; [1, 0, 0]; [2, 1, 0]
ea; [3, 0, 0]; [6, 1, 0]; [1, 0, 1]
bp; [4, 0, 0]; [2, 0, 0]; [3, 0, 0]
dp3; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
ds; [2, 0, 1]; [1, 1, 0]; [3, 1, 0]
nbc; [3, 0, 1]; [4, 1, 0]; [1, 0, 0]
sa; [3, 0, 0]; [1, 0, 0]; [2, 1, 0]
rr; [1, 0, 0]; [2, 0, 0]; [4, 2, 0]
royal; [4, 1, 0]; [2, 0, 0]; [1, 0, 0]
tt; [3, 1, 0]; [2, 0, 0]; [1, 0, 0]
mcgba; [2, 0, 0]; [1, 1, 0]; [3, 0, 0]
hc; [3, 0, 0]; [2, 1, 0]; [1, 0, 1]
pps; [4, 1, 0]; [5, 2, 0]; [2, 1, 1]
rr; [6, 2, 0]; [3, 0, 1]; [1, 0, 0]
rrsnes; [5, 0, 1]; [1, 1, 0]; [2, 0, 0]
mc; [2, 0, 0]; [1, 1, 0]; [3, 0, 1]
bc; [2, 1, 0]; [3, 1, 0]; [1, 1, 0]
mw; [2, 0, 0]; [1, 1, 1]; [3, 1, 0]
wgm; [2, 0, 0]; [3, 2, 0]; [1, 0, 1]
ea; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
wgm; [2, 1, 1]; [1, 0, 0]; [3, 0, 0]
mc; [4, 1, 0]; [1, 0, 1]; [3, 0, 0]
mcgba; [4, 1, 1]; [1, 0, 0]; [3, 2, 0]
ccb; [4, 0, 0]; [1, 1, 1]; [3, 1, 0]
bb; [7, 0, 0]; [2, 1, 0]; [1, 1, 0]
ea; [1, 1, 0]; [6, 2, 0]; [5, 0, 1]
bb; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
dkj; [3, 0, 0]; [2, 1, 1]; [1, 0, 0]
bp; [4, 0, 0]; [5, 2, 0]; [1, 3, 1]
dkj; [2, 1, 0]; [1, 0, 0]; [4, 1, 0]
wgm; [1, 0, 0]; [2, 2, 0]; [6, 0, 0]
ws; [3, 1, 0]; [5, 2, 0]; [1, 0, 2]
ea; [1, 0, 0]; [8, 2, 1]; [6, 0, 0]
rrsnes; [6, 0, 0]; [1, 0, 0]; [8, 1, 0]
cc; [1, 2, 0]; [2, 0, 0]; [5, 0, 0]
yc; [7, 0, 0]; [5, 1, 0]; [1, 2, 0]
royal; [4, 1, 0]; [2, 2, 1]; [1, 3, 1]
bp; [2, 0, 0]; [4, 1, 0]; [1, 0, 1]
nbc; [3, 0, 1]; [1, 0, 0]; [5, 2, 0]
tt; [3, 1, 0]; [2, 0, 0]; [1, 0, 1]
gv; [2, 2, 0]; [1, 0, 1]; [3, 0, 0]
nbc; [3, 1, 0]; [2, 2, 0]; [1, 0, 2]
rrsnes; [1, 0, 0]; [4, 1, 0]; [2, 1, 0]
royal; [2, 0, 0]; [1, 0, 0]; [3, 1, 0]
rrn64; [2, 0, 0]; [1, 0, 0]; [3, 0, 0]
