Track; Henry; Justus; Lukas
wgm; [3, 0, 0]; [2, 0, 0]; [1, 1, 0]
ww; [3, 0, 0]; [1, 0, 1]; [2, 0, 0]
ccb; [5, 0, 0]; [1, 0, 1]; [2, 1, 0]
wp; [2, 0, 0]; [5, 2, 1]; [1, 1, 0]
sl; [4, 0, 1]; [2, 1, 0]; [1, 1, 0]
mmm; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
bb; [5, 0, 0]; [2, 1, 0]; [1, 0, 0]
yv; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
mc; [1, 0, 1]; [4, 0, 0]; [5, 0, 0]
rrn64; [2, 0, 0]; [6, 1, 0]; [8, 0, 0]
tr; [4, 0, 0]; [1, 0, 0]; [2, 2, 0]
rrsnes; [5, 0, 0]; [3, 0, 0]; [1, 0, 0]
yc; [6, 1, 0]; [5, 2, 0]; [1, 1, 0]
bp; [3, 0, 0]; [2, 0, 0]; [4, 4, 0]
mcgba; [1, 0, 0]; [2, 0, 0]; [3, 2, 0]
hc; [3, 2, 0]; [9, 1, 0]; [1, 0, 1]
mmm; [2, 0, 0]; [1, 0, 0]; [4, 1, 0]
gv; [3, 0, 0]; [2, 1, 0]; [1, 2, 0]
sbs; [1, 1, 0]; [2, 2, 1]; [3, 1, 0]
mc; [1, 0, 0]; [5, 2, 1]; [2, 1, 0]
wgm; [1, 1, 0]; [6, 1, 0]; [3, 1, 1]
ddd; [4, 1, 0]; [2, 1, 0]; [3, 1, 0]
bb; [3, 0, 0]; [2, 1, 0]; [1, 1, 0]
bdd; [2, 0, 0]; [3, 0, 0]; [1, 2, 0]
tr; [3, 2, 0]; [5, 1, 1]; [1, 0, 0]
sa; [1, 1, 0]; [2, 1, 0]; [4, 0, 0]
nbc; [1, 0, 0]; [2, 1, 0]; [3, 3, 0]
mp; [8, 0, 0]; [10, 1, 0]; [1, 0, 1]
rrsnes; [2, 0, 0]; [7, 1, 0]; [1, 0, 0]
mutec; [6, 0, 0]; [1, 1, 0]; [5, 0, 0]
mks; [1, 0, 0]; [2, 1, 0]; [3, 1, 0]
sgf; [6, 0, 0]; [1, 1, 0]; [4, 2, 1]
sl; [2, 0, 0]; [3, 1, 0]; [1, 2, 0]
mks; [2, 0, 0]; [1, 1, 0]; [4, 1, 1]
yc; [2, 1, 0]; [7, 1, 0]; [1, 0, 0]
yv; [2, 2, 0]; [3, 1, 0]; [1, 1, 0]
tr; [5, 0, 1]; [4, 3, 0]; [1, 1, 0]
ds; [4, 0, 0]; [1, 0, 0]; [2, 0, 0]
ccb; [4, 0, 0]; [3, 2, 1]; [1, 1, 0]
mmm; [1, 0, 0]; [3, 3, 0]; [4, 3, 0]
tr; [3, 0, 0]; [2, 0, 0]; [5, 0, 0]
ribbon; [6, 0, 0]; [3, 3, 0]; [1, 1, 0]
yc; [2, 0, 1]; [1, 1, 0]; [8, 1, 0]
th; [2, 1, 1]; [1, 1, 0]; [3, 1, 0]
rrn64; [4, 0, 0]; [1, 0, 0]; [2, 1, 0]
rr; [5, 0, 0]; [3, 2, 0]; [1, 0, 0]
ws; [2, 0, 1]; [3, 0, 0]; [1, 0, 0]
sa; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
