Track; Henry; Justus; Lukas
mks; [5, 0, 1]; [2, 1, 0]; [1, 2, 0]
yv; [3, 3, 1]; [1, 1, 1]; [2, 1, 0]
mc; [6, 1, 0]; [1, 3, 1]; [4, 1, 0]
sbs; [4, 0, 0]; [2, 2, 1]; [1, 1, 0]
tm; [5, 1, 0]; [2, 2, 0]; [1, 0, 0]
dd; [7, 2, 1]; [1, 1, 0]; [2, 1, 0]
pps; [1, 0, 1]; [2, 1, 0]; [5, 1, 0]
sbs; [3, 1, 0]; [1, 2, 1]; [5, 1, 0]
nbc; [2, 2, 0]; [1, 1, 0]; [3, 0, 0]
ac; [5, 2, 0]; [1, 1, 1]; [3, 2, 0]
mks; [1, 0, 0]; [5, 1, 0]; [2, 1, 0]
ws; [1, 1, 0]; [3, 1, 0]; [2, 2, 1]
sl; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
mks; [6, 4, 0]; [2, 1, 0]; [1, 3, 0]
mp; [2, 1, 0]; [3, 2, 1]; [1, 0, 0]
mcgba; [2, 1, 1]; [6, 1, 0]; [3, 1, 0]
tr; [4, 1, 0]; [2, 1, 0]; [3, 2, 1]
th; [2, 1, 0]; [3, 1, 0]; [1, 0, 1]
royal; [4, 0, 0]; [1, 1, 0]; [2, 0, 1]
th; [6, 0, 0]; [3, 0, 0]; [1, 0, 2]
ws; [1, 0, 0]; [3, 1, 1]; [2, 1, 0]
pps; [1, 0, 1]; [2, 2, 0]; [3, 2, 0]
mks; [1, 1, 0]; [3, 1, 0]; [2, 0, 0]
mcgba; [5, 0, 1]; [2, 1, 0]; [1, 1, 0]
rr; [2, 0, 0]; [1, 0, 0]; [3, 1, 0]
tr; [3, 0, 0]; [4, 1, 1]; [1, 0, 0]
bc; [5, 1, 0]; [2, 1, 0]; [1, 1, 0]
nbc; [5, 0, 0]; [1, 0, 1]; [2, 1, 0]
cl; [1, 0, 1]; [3, 1, 0]; [2, 0, 0]
tm; [2, 1, 1]; [3, 2, 0]; [1, 0, 0]
ribbon; [1, 1, 1]; [3, 2, 0]; [2, 2, 1]
sa; [4, 0, 0]; [2, 1, 0]; [1, 2, 0]
rr; [2, 0, 0]; [5, 1, 0]; [1, 0, 1]
ccb; [4, 1, 0]; [1, 1, 0]; [8, 2, 0]
sl; [1, 1, 0]; [2, 1, 0]; [3, 1, 1]
royal; [3, 1, 0]; [1, 0, 0]; [2, 0, 1]
ttc; [2, 1, 1]; [3, 2, 0]; [1, 0, 1]
th; [3, 2, 0]; [2, 2, 0]; [1, 0, 1]
dkj; [1, 0, 0]; [3, 1, 0]; [2, 2, 1]
ddd; [1, 2, 0]; [3, 1, 0]; [2, 0, 0]
tt; [3, 0, 0]; [2, 2, 0]; [1, 0, 0]
iic; [4, 0, 0]; [2, 3, 1]; [1, 2, 0]
royal; [3, 0, 1]; [1, 0, 0]; [2, 0, 0]
mw; [3, 0, 0]; [1, 3, 0]; [2, 1, 0]
bp; [1, 1, 0]; [4, 2, 0]; [2, 0, 0]
mks; [1, 0, 1]; [3, 1, 0]; [2, 1, 0]
ac; [6, 1, 0]; [1, 1, 0]; [2, 1, 0]
rr; [2, 0, 0]; [3, 1, 0]; [1, 1, 1]
