Track; Henry; Justus; Lukas
mw; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
ac; [5, 1, 0]; [2, 2, 0]; [1, 0, 0]
dkj; [2, 0, 0]; [1, 0, 1]; [3, 0, 0]
rrsnes; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
sa; [3, 0, 0]; [1, 0, 0]; [2, 2, 0]
rr; [1, 3, 0]; [6, 1, 0]; [2, 2, 0]
tt; [3, 0, 1]; [1, 0, 0]; [2, 1, 0]
ac; [3, 0, 0]; [1, 0, 1]; [4, 1, 0]
sl; [1, 0, 0]; [5, 1, 0]; [2, 1, 0]
bdd; [2, 1, 1]; [1, 1, 1]; [3, 1, 0]
tr; [4, 1, 0]; [3, 1, 0]; [1, 0, 0]
sgf; [5, 0, 0]; [2, 1, 0]; [1, 1, 0]
tm; [3, 0, 0]; [2, 1, 0]; [1, 1, 0]
rr; [1, 1, 1]; [4, 2, 0]; [2, 2, 0]
mmm; [4, 0, 1]; [3, 1, 0]; [1, 2, 0]
rr; [4, 1, 0]; [3, 1, 0]; [1, 0, 1]
wgm; [3, 0, 1]; [4, 2, 0]; [1, 1, 0]
ttc; [7, 1, 0]; [3, 1, 0]; [1, 0, 1]
hc; [2, 0, 0]; [1, 2, 0]; [5, 2, 0]
nbc; [5, 0, 0]; [7, 0, 0]; [1, 0, 1]
ccb; [3, 1, 1]; [2, 0, 0]; [1, 1, 0]
pps; [1, 0, 0]; [3, 0, 0]; [6, 0, 0]
mks; [3, 3, 0]; [6, 2, 0]; [1, 0, 1]
dp3; [3, 1, 0]; [1, 0, 1]; [4, 0, 0]
mcgba; [1, 0, 0]; [3, 1, 0]; [2, 1, 0]
yc; [7, 0, 0]; [2, 1, 0]; [1, 0, 1]
tr; [2, 0, 0]; [4, 2, 1]; [1, 0, 0]
rrsnes; [1, 0, 0]; [3, 1, 0]; [5, 1, 0]
tt; [3, 1, 0]; [1, 0, 0]; [2, 1, 1]
mks; [6, 0, 0]; [2, 1, 0]; [1, 1, 1]
rrsnes; [8, 0, 0]; [3, 1, 0]; [1, 0, 1]
nbc; [8, 0, 0]; [6, 1, 0]; [1, 1, 1]
sl; [1, 1, 0]; [2, 0, 0]; [3, 1, 0]
iic; [2, 0, 0]; [3, 0, 0]; [1, 0, 0]
rr; [5, 1, 0]; [3, 1, 1]; [2, 1, 0]
mw; [2, 0, 0]; [3, 0, 0]; [1, 0, 0]
gv; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
dkj; [2, 0, 0]; [1, 1, 0]; [3, 1, 2]
ww; [4, 0, 0]; [2, 1, 0]; [1, 1, 1]
hc; [3, 1, 0]; [2, 2, 0]; [1, 0, 0]
ssc; [2, 1, 1]; [1, 1, 0]; [7, 2, 0]
ww; [1, 0, 0]; [2, 2, 0]; [4, 2, 0]
nbc; [1, 0, 0]; [3, 1, 0]; [8, 1, 0]
pps; [2, 1, 0]; [1, 0, 0]; [6, 0, 0]
ww; [1, 0, 0]; [2, 1, 0]; [4, 3, 0]
hc; [1, 0, 0]; [5, 1, 0]; [2, 0, 0]
nbc; [9, 0, 0]; [5, 2, 0]; [1, 2, 1]
dkj; [3, 0, 0]; [1, 1, 0]; [2, 1, 0]
