Track; Henry; Justus; Lukas
gv; [1, 0, 1]; [2, 0, 0]; [3, 0, 0]
mks; [6, 0, 0]; [1, 0, 0]; [7, 1, 0]
wgm; [4, 0, 0]; [1, 0, 0]; [2, 0, 0]
mw; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
yc; [7, 1, 0]; [3, 2, 1]; [1, 0, 0]
mc; [1, 0, 0]; [2, 2, 0]; [5, 1, 0]
ea; [1, 1, 0]; [4, 0, 1]; [2, 0, 0]
bp; [4, 1, 1]; [1, 1, 0]; [2, 1, 0]
ssc; [4, 1, 0]; [3, 1, 1]; [1, 0, 0]
sa; [3, 1, 0]; [2, 2, 0]; [1, 2, 0]
tr; [2, 1, 1]; [3, 1, 0]; [1, 0, 0]
pps; [6, 1, 0]; [2, 1, 0]; [1, 1, 0]
sa; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
ea; [2, 0, 0]; [3, 2, 0]; [7, 1, 0]
sgf; [1, 0, 0]; [2, 0, 1]; [4, 0, 0]
nbc; [3, 0, 0]; [2, 1, 0]; [1, 0, 1]
yv; [3, 0, 0]; [1, 0, 1]; [2, 0, 0]
gv; [4, 0, 0]; [2, 1, 1]; [1, 1, 0]
sl; [2, 0, 0]; [1, 0, 0]; [5, 1, 0]
dp3; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
rr; [1, 1, 1]; [2, 0, 0]; [3, 0, 0]
ssc; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
royal; [8, 0, 0]; [2, 0, 0]; [1, 1, 0]
rr; [5, 1, 0]; [2, 1, 0]; [1, 0, 1]
mp; [6, 0, 0]; [8, 1, 0]; [1, 0, 1]
tm; [2, 1, 0]; [1, 0, 0]; [3, 2, 0]
ddd; [2, 0, 0]; [1, 0, 0]; [4, 2, 0]
rr; [2, 1, 1]; [3, 1, 0]; [5, 2, 0]
dkj; [1, 1, 1]; [3, 0, 0]; [2, 1, 0]
bp; [6, 0, 0]; [5, 0, 0]; [1, 0, 0]
mc; [2, 0, 0]; [4, 2, 0]; [1, 0, 0]
nbc; [2, 1, 0]; [1, 1, 1]; [7, 2, 0]
wp; [1, 0, 0]; [2, 2, 0]; [3, 3, 0]
ws; [2, 1, 0]; [3, 0, 0]; [1, 0, 1]
pps; [1, 1, 0]; [2, 1, 0]; [3, 2, 0]
mutec; [5, 1, 1]; [2, 2, 0]; [1, 0, 0]
bdd; [3, 1, 0]; [1, 0, 0]; [2, 2, 0]
wp; [3, 1, 0]; [2, 1, 0]; [1, 0, 1]
cc; [1, 0, 1]; [2, 1, 0]; [4, 1, 0]
bc; [2, 2, 0]; [3, 1, 0]; [1, 0, 0]
sl; [1, 0, 0]; [3, 1, 0]; [4, 0, 0]
cc; [2, 1, 0]; [8, 2, 0]; [1, 0, 0]
ac; [2, 0, 0]; [6, 1, 0]; [1, 0, 0]
tm; [3, 0, 0]; [5, 1, 0]; [1, 0, 0]
pps; [3, 0, 0]; [2, 0, 0]; [1, 0, 1]
ac; [2, 0, 0]; [1, 0, 0]; [4, 1, 0]
th; [3, 2, 0]; [2, 1, 0]; [1, 0, 1]
mutec; [8, 0, 0]; [1, 0, 0]; [3, 0, 0]
