Track; Henry; Justus; Lukas
wp; [1, 0, 0]; [3, 0, 0]; [2, 0, 0]
gv; [2, 0, 0]; [1, 0, 1]; [3, 1, 0]
ccb; [1, 2, 0]; [5, 1, 1]; [3, 3, 0]
mks; [2, 0, 0]; [1, 2, 0]; [3, 0, 1]
cc; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
ssc; [5, 1, 0]; [1, 0, 0]; [2, 0, 1]
rrn64; [3, 0, 0]; [2, 3, 0]; [1, 0, 0]
mcgba; [1, 2, 0]; [3, 0, 1]; [2, 0, 0]
mp; [7, 2, 0]; [3, 1, 0]; [1, 1, 1]
tm; [8, 3, 1]; [1, 1, 0]; [3, 1, 0]
wp; [4, 0, 0]; [2, 1, 0]; [1, 0, 0]
mks; [1, 0, 0]; [2, 0, 0]; [6, 0, 0]
tt; [5, 0, 0]; [2, 0, 0]; [1, 1, 0]
royal; [2, 0, 0]; [3, 1, 0]; [1, 0, 1]
dp3; [3, 1, 0]; [1, 0, 0]; [2, 2, 0]
yv; [2, 1, 0]; [1, 0, 0]; [3, 0, 0]
th; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
dd; [4, 0, 0]; [3, 1, 0]; [1, 0, 0]
tt; [5, 0, 0]; [1, 0, 0]; [2, 0, 0]
ww; [3, 1, 0]; [1, 0, 0]; [2, 0, 0]
ac; [4, 0, 0]; [3, 2, 1]; [1, 0, 0]
cl; [2, 1, 0]; [1, 0, 0]; [3, 0, 1]
mks; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
bdd; [2, 0, 0]; [4, 1, 0]; [1, 1, 1]
cc; [2, 2, 0]; [3, 3, 0]; [1, 0, 1]
dkj; [2, 0, 0]; [1, 0, 1]; [3, 0, 0]
bb; [3, 1, 0]; [1, 0, 0]; [6, 1, 1]
e; [2, 0, 0]; [4, 1, 1]; [1, 3, 0]
sbs; [4, 0, 0]; [1, 1, 0]; [2, 2, 0]
tt; [5, 0, 0]; [2, 0, 0]; [1, 0, 0]
mc; [4, 0, 0]; [1, 1, 0]; [2, 0, 1]
ww; [2, 0, 0]; [3, 2, 0]; [1, 2, 1]
dkj; [5, 0, 0]; [2, 1, 1]; [1, 0, 0]
ccb; [2, 0, 0]; [3, 1, 0]; [1, 0, 0]
bdd; [4, 0, 0]; [2, 1, 0]; [1, 2, 0]
gv; [2, 0, 0]; [3, 1, 0]; [1, 0, 1]
mp; [9, 0, 0]; [8, 0, 0]; [1, 0, 1]
ssc; [2, 0, 0]; [1, 1, 0]; [3, 1, 0]
bdd; [1, 1, 0]; [2, 1, 0]; [3, 0, 1]
dd; [6, 0, 0]; [2, 1, 0]; [1, 1, 1]
nbc; [1, 1, 0]; [3, 1, 0]; [2, 1, 0]
ssc; [1, 0, 0]; [3, 1, 0]; [2, 1, 0]
ddd; [1, 1, 0]; [2, 1, 0]; [4, 3, 0]
mcgba; [1, 0, 0]; [3, 1, 0]; [2, 1, 0]
pps; [2, 1, 0]; [3, 2, 1]; [1, 0, 1]
e; [3, 0, 1]; [1, 1, 0]; [8, 3, 0]
wgm; [5, 2, 0]; [2, 1, 0]; [1, 0, 0]
hc; [2, 0, 0]; [1, 1, 1]; [3, 1, 0]
