Track; Henry; Justus; Lukas
ddd; [3, 0, 1]; [2, 2, 0]; [1, 1, 0]
ws; [2, 0, 1]; [4, 1, 0]; [1, 1, 0]
mp; [8, 1, 0]; [6, 0, 0]; [1, 0, 0]
ddd; [3, 1, 0]; [1, 2, 0]; [2, 0, 1]
mcgba; [2, 1, 0]; [1, 0, 0]; [3, 2, 0]
bdd; [3, 0, 0]; [2, 0, 0]; [1, 0, 1]
pps; [2, 0, 1]; [1, 0, 0]; [3, 1, 0]
dd; [5, 2, 0]; [1, 1, 0]; [6, 1, 0]
bdd; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
ws; [1, 0, 1]; [6, 3, 0]; [2, 1, 0]
mp; [4, 0, 1]; [2, 1, 0]; [1, 1, 0]
dp3; [4, 1, 0]; [3, 1, 1]; [1, 0, 0]
royal; [1, 1, 0]; [3, 2, 0]; [2, 2, 1]
sa; [3, 1, 0]; [1, 1, 0]; [2, 1, 0]
mc; [6, 0, 0]; [2, 0, 0]; [1, 0, 0]
mcgba; [2, 0, 0]; [3, 1, 1]; [1, 0, 0]
ws; [2, 0, 1]; [1, 1, 0]; [4, 1, 0]
sl; [2, 0, 0]; [1, 2, 0]; [3, 2, 0]
pps; [3, 1, 0]; [1, 0, 0]; [2, 1, 0]
mc; [7, 1, 0]; [3, 2, 0]; [1, 1, 1]
cl; [4, 0, 0]; [2, 1, 0]; [1, 0, 0]
ccb; [1, 0, 0]; [2, 2, 0]; [3, 3, 1]
ds; [2, 0, 0]; [1, 1, 0]; [4, 1, 1]
dd; [5, 1, 0]; [1, 1, 0]; [2, 1, 0]
ea; [2, 1, 0]; [1, 1, 0]; [3, 1, 0]
pps; [2, 0, 0]; [3, 1, 0]; [1, 0, 0]
mc; [1, 0, 0]; [2, 1, 1]; [5, 1, 0]
sgf; [3, 0, 0]; [1, 2, 0]; [4, 1, 0]
royal; [4, 1, 0]; [2, 2, 0]; [1, 0, 1]
ribbon; [2, 1, 0]; [4, 2, 0]; [1, 0, 0]
dp3; [2, 1, 0]; [1, 1, 0]; [4, 0, 0]
bb; [4, 1, 0]; [1, 0, 0]; [6, 0, 0]
dkj; [4, 0, 0]; [1, 0, 0]; [2, 0, 0]
ribbon; [1, 0, 0]; [2, 1, 0]; [3, 1, 1]
rrsnes; [1, 0, 0]; [3, 1, 0]; [2, 0, 1]
ea; [1, 1, 0]; [4, 1, 0]; [3, 0, 0]
mks; [3, 2, 0]; [1, 1, 0]; [2, 0, 0]
wgm; [2, 0, 0]; [1, 0, 0]; [3, 1, 0]
sbs; [3, 1, 0]; [1, 0, 0]; [2, 1, 1]
royal; [5, 0, 0]; [1, 2, 0]; [6, 2, 0]
tm; [5, 0, 0]; [3, 1, 0]; [1, 0, 0]
mutec; [7, 1, 0]; [6, 1, 0]; [1, 0, 1]
ccb; [1, 2, 0]; [5, 1, 0]; [8, 0, 0]
royal; [2, 0, 0]; [1, 1, 0]; [3, 1, 1]
mutec; [8, 0, 0]; [1, 0, 0]; [2, 1, 0]
tm; [5, 0, 0]; [3, 0, 0]; [1, 0, 1]
yc; [3, 0, 1]; [2, 2, 0]; [1, 1, 0]
yv; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
