Track; Henry; Justus; Lukas
ac; [3, 1, 0]; [1, 0, 0]; [2, 1, 0]
tt; [4, 0, 0]; [1, 0, 0]; [2, 3, 0]
bdd; [3, 0, 0]; [2, 2, 0]; [1, 0, 0]
cl; [1, 2, 0]; [2, 1, 0]; [3, 0, 1]
mutec; [4, 0, 0]; [2, 0, 0]; [1, 0, 0]
ws; [2, 0, 0]; [3, 1, 0]; [1, 0, 0]
iic; [3, 1, 0]; [9, 1, 0]; [1, 0, 0]
dd; [5, 0, 1]; [1, 0, 0]; [3, 2, 0]
tt; [3, 0, 0]; [2, 0, 0]; [1, 1, 0]
mmm; [2, 0, 0]; [3, 0, 0]; [1, 1, 0]
dd; [3, 1, 0]; [1, 0, 0]; [7, 2, 0]
cl; [2, 0, 0]; [3, 2, 0]; [1, 2, 0]
mcgba; [1, 1, 1]; [3, 3, 0]; [2, 1, 0]
gv; [3, 0, 1]; [2, 1, 0]; [1, 2, 0]
ac; [3, 0, 0]; [1, 0, 0]; [2, 1, 0]
ea; [5, 1, 0]; [3, 1, 0]; [6, 1, 0]
ccb; [2, 0, 0]; [3, 1, 0]; [1, 1, 0]
nbc; [3, 0, 0]; [2, 1, 0]; [1, 2, 0]
ribbon; [2, 0, 1]; [3, 2, 0]; [1, 1, 0]
ttc; [3, 0, 1]; [1, 0, 0]; [2, 1, 0]
sa; [4, 0, 0]; [1, 1, 0]; [3, 1, 0]
dp3; [2, 0, 1]; [3, 1, 0]; [1, 1, 0]
ssc; [4, 0, 0]; [2, 1, 1]; [1, 2, 0]
dd; [4, 0, 0]; [1, 0, 0]; [3, 1, 0]
ssc; [3, 1, 0]; [2, 2, 0]; [1, 0, 0]
th; [6, 1, 0]; [3, 1, 0]; [1, 2, 1]
ds; [3, 0, 0]; [1, 0, 1]; [2, 1, 0]
dp3; [3, 0, 0]; [4, 2, 0]; [1, 1, 0]
dkj; [1, 1, 0]; [3, 1, 0]; [2, 1, 0]
cc; [2, 1, 0]; [1, 1, 0]; [3, 1, 1]
ttc; [5, 0, 0]; [1, 0, 0]; [2, 0, 0]
iic; [8, 1, 0]; [2, 1, 1]; [1, 0, 0]
