Track; Henry; Justus; Lukas
ds; [1, 1, 0]; [2, 1, 1]; [5, 2, 0]
bp; [2, 0, 1]; [1, 1, 0]; [3, 2, 0]
sl; [2, 4, 0]; [1, 0, 0]; [3, 2, 1]
ea; [1, 3, 0]; [5, 3, 0]; [2, 1, 1]
ww; [4, 2, 0]; [2, 1, 0]; [1, 2, 0]
rr; [4, 0, 0]; [1, 0, 1]; [10, 0, 0]
bdd; [3, 0, 0]; [2, 2, 0]; [1, 1, 0]
cc; [9, 0, 0]; [1, 2, 0]; [2, 0, 1]
bp; [1, 2, 0]; [3, 0, 1]; [2, 1, 0]
yv; [2, 1, 1]; [1, 1, 0]; [5, 1, 0]
nbc; [2, 1, 0]; [1, 1, 0]; [3, 0, 0]
tm; [4, 1, 0]; [1, 0, 0]; [2, 0, 0]
bc; [4, 3, 0]; [1, 2, 0]; [2, 1, 0]
dkj; [3, 2, 0]; [2, 2, 0]; [1, 3, 0]
tt; [3, 0, 0]; [2, 1, 0]; [1, 0, 0]
th; [4, 0, 0]; [1, 1, 0]; [2, 0, 1]
dd; [1, 1, 1]; [2, 1, 0]; [6, 2, 0]
ccb; [7, 1, 0]; [1, 1, 1]; [4, 1, 0]
gv; [1, 0, 0]; [4, 1, 0]; [3, 1, 2]
bb; [2, 2, 0]; [1, 2, 1]; [6, 3, 0]
dd; [1, 0, 0]; [4, 1, 0]; [2, 2, 0]
tt; [2, 0, 0]; [1, 0, 0]; [12, 2, 1]
rr; [2, 2, 0]; [3, 1, 1]; [1, 0, 0]
tm; [7, 0, 0]; [1, 0, 1]; [3, 0, 0]
sl; [5, 4, 0]; [2, 2, 0]; [1, 1, 1]
ccb; [7, 2, 0]; [2, 1, 0]; [1, 0, 0]
ds; [2, 3, 0]; [3, 2, 1]; [1, 0, 0]
bc; [2, 0, 1]; [1, 2, 0]; [6, 3, 0]
ac; [2, 1, 0]; [1, 0, 1]; [3, 0, 0]
wp; [3, 1, 0]; [2, 3, 1]; [1, 0, 0]
mw; [3, 0, 0]; [1, 0, 0]; [2, 0, 0]
gv; [4, 0, 0]; [2, 1, 0]; [1, 0, 0]
ws; [4, 2, 0]; [1, 2, 0]; [2, 3, 1]
wgm; [5, 2, 0]; [2, 2, 0]; [1, 1, 1]
mw; [2, 1, 0]; [1, 0, 0]; [3, 1, 0]
iic; [4, 0, 0]; [1, 0, 0]; [7, 1, 0]
tt; [6, 1, 0]; [2, 0, 0]; [1, 0, 0]
mks; [3, 0, 1]; [5, 1, 0]; [1, 0, 0]
yc; [3, 2, 0]; [1, 1, 0]; [2, 1, 1]
bc; [2, 1, 0]; [1, 1, 1]; [6, 4, 0]
ccb; [6, 0, 0]; [1, 0, 2]; [5, 2, 0]
hc; [5, 1, 0]; [1, 0, 0]; [2, 1, 0]
ea; [6, 0, 0]; [2, 1, 0]; [7, 1, 0]
bp; [2, 0, 0]; [1, 1, 0]; [3, 3, 0]
iic; [1, 0, 0]; [3, 1, 0]; [2, 1, 0]
gv; [3, 3, 0]; [1, 1, 0]; [6, 2, 0]
rrn64; [4, 0, 0]; [1, 1, 0]; [2, 0, 0]
yv; [3, 1, 1]; [1, 2, 0]; [6, 2, 0]
