Track; Henry; Justus; Lukas
rr; [1, 0, 0]; [9, 2, 0]; [2, 0, 1]
dd; [3, 2, 0]; [2, 2, 1]; [1, 1, 0]
wp; [2, 0, 0]; [1, 0, 0]; [4, 1, 0]
yc; [2, 2, 0]; [1, 1, 0]; [6, 3, 0]
iic; [1, 0, 0]; [2, 0, 2]; [3, 2, 0]
hc; [1, 0, 0]; [4, 2, 0]; [2, 1, 0]
yc; [1, 0, 0]; [3, 0, 1]; [2, 1, 0]
mcgba; [7, 0, 0]; [1, 0, 1]; [2, 2, 0]
sa; [3, 0, 0]; [1, 0, 0]; [2, 2, 0]
bb; [4, 1, 0]; [3, 2, 0]; [1, 1, 0]
yv; [2, 2, 0]; [3, 1, 0]; [1, 0, 0]
rrn64; [10, 0, 0]; [1, 0, 0]; [2, 1, 0]
ddd; [4, 1, 0]; [1, 0, 1]; [2, 1, 0]
iic; [3, 1, 0]; [1, 1, 1]; [6, 0, 0]
wgm; [5, 2, 0]; [2, 3, 0]; [1, 0, 0]
wp; [1, 1, 0]; [5, 2, 0]; [4, 2, 1]
ddd; [2, 0, 0]; [1, 1, 0]; [6, 2, 0]
rrsnes; [1, 1, 0]; [5, 1, 2]; [2, 1, 0]
bc; [2, 1, 0]; [6, 1, 1]; [1, 1, 0]
ttc; [1, 0, 0]; [7, 1, 0]; [2, 1, 1]
tt; [2, 0, 0]; [5, 0, 0]; [1, 0, 0]
sl; [3, 2, 0]; [2, 1, 0]; [1, 0, 0]
gv; [1, 0, 1]; [4, 2, 0]; [2, 1, 0]
dp3; [1, 0, 0]; [3, 1, 1]; [5, 1, 0]
cc; [3, 0, 0]; [1, 1, 0]; [2, 1, 0]
hc; [2, 0, 1]; [1, 1, 1]; [5, 2, 0]
mutec; [6, 2, 0]; [1, 1, 0]; [3, 1, 1]
ww; [6, 1, 0]; [2, 1, 0]; [1, 0, 0]
nbc; [2, 1, 1]; [1, 2, 0]; [7, 1, 0]
ea; [3, 1, 0]; [2, 1, 1]; [1, 1, 0]
tr; [2, 1, 0]; [1, 1, 0]; [3, 0, 1]
yc; [3, 0, 1]; [1, 1, 0]; [2, 0, 0]
royal; [4, 2, 0]; [3, 1, 0]; [1, 1, 1]
dd; [3, 0, 1]; [2, 1, 1]; [1, 1, 0]
nbc; [1, 2, 0]; [2, 1, 0]; [5, 4, 0]
dp3; [7, 2, 0]; [3, 2, 0]; [1, 2, 1]
bp; [3, 1, 1]; [1, 1, 0]; [2, 0, 0]
mutec; [2, 2, 0]; [1, 0, 1]; [5, 1, 0]
mw; [4, 0, 0]; [1, 2, 0]; [2, 0, 0]
wp; [6, 0, 0]; [3, 2, 0]; [2, 1, 0]
bdd; [2, 2, 0]; [1, 1, 0]; [3, 2, 0]
ttc; [4, 1, 0]; [1, 2, 0]; [3, 0, 0]
mw; [3, 3, 0]; [1, 0, 2]; [2, 3, 0]
wp; [3, 2, 0]; [2, 0, 2]; [1, 0, 0]
rrn64; [4, 0, 0]; [1, 1, 0]; [6, 0, 0]
mmm; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
ac; [7, 0, 0]; [6, 0, 0]; [1, 1, 0]
dkj; [2, 0, 1]; [1, 0, 0]; [3, 2, 0]
