Track; Henry; Justus; Lukas
yc; [5, 0, 0]; [8, 1, 0]; [1, 0, 0]
ds; [4, 0, 0]; [1, 0, 0]; [3, 1, 0]
mc; [9, 3, 0]; [2, 1, 0]; [1, 0, 1]
bdd; [3, 0, 0]; [1, 1, 0]; [2, 1, 1]
wgm; [6, 0, 0]; [4, 1, 0]; [2, 2, 0]
ddd; [2, 0, 0]; [1, 1, 0]; [4, 2, 0]
bdd; [2, 0, 0]; [4, 1, 0]; [1, 1, 1]
ww; [5, 0, 0]; [2, 1, 0]; [1, 0, 0]
rr; [1, 1, 1]; [5, 1, 0]; [8, 0, 0]
mc; [5, 0, 0]; [1, 0, 0]; [2, 0, 0]
ttc; [1, 0, 0]; [2, 3, 1]; [3, 1, 0]
sl; [2, 0, 1]; [3, 0, 0]; [1, 0, 0]
rrn64; [5, 0, 0]; [2, 1, 0]; [1, 0, 1]
cc; [4, 0, 0]; [6, 0, 0]; [1, 1, 0]
ea; [3, 2, 1]; [8, 3, 0]; [1, 1, 0]
mcgba; [1, 0, 0]; [2, 1, 0]; [6, 0, 0]
rrsnes; [2, 0, 0]; [3, 0, 0]; [1, 0, 0]
cc; [1, 1, 0]; [3, 1, 1]; [2, 1, 0]
iic; [3, 1, 0]; [4, 1, 1]; [1, 1, 0]
dd; [3, 0, 0]; [2, 0, 0]; [1, 0, 0]
mp; [5, 0, 0]; [6, 1, 0]; [1, 0, 0]
tm; [5, 1, 0]; [7, 1, 0]; [1, 0, 0]
ws; [2, 0, 0]; [1, 1, 0]; [3, 0, 0]
sbs; [2, 1, 1]; [1, 2, 0]; [3, 0, 1]
ws; [3, 2, 0]; [1, 1, 0]; [2, 1, 0]
tt; [3, 2, 0]; [1, 1, 0]; [5, 0, 0]
ea; [1, 1, 0]; [4, 1, 1]; [3, 0, 0]
mks; [1, 0, 0]; [3, 1, 0]; [2, 0, 0]
ac; [3, 0, 0]; [1, 0, 0]; [9, 2, 0]
ea; [3, 1, 0]; [4, 2, 0]; [1, 0, 0]
yc; [6, 0, 0]; [9, 2, 0]; [1, 2, 1]
dd; [4, 0, 0]; [1, 0, 0]; [3, 1, 1]
